Ant Model,Type,Reflector Height (m),Reflector Width (m),Category,Diameter (m),Midband Gain (dBi)
85009294001,Ant,,,Other,1.8288,38.2
85009294002,Ant,,,Other,2.4384,40.8
85010089021,Ant,,,Other,1.8288,39
85010091006,Ant,,,Other,1.2192,35
85010091007,Ant,,,Other,1.8288,39
85010092021,Ant,,,Other,1.8288,39
AANT6G6,Ant,,,Other,1.8288,38.9
AD6G3,Ant,,,Other,1.02108,32.5
AD6G4,Ant,,,Other,1.228344,35.6
AD6G6,Ant,,,Other,1.877568,39.4
AL36,Ant,,,Other,0.9144,33.1
AL46,Ant,,,Other,1.2192,35.6
AL6D24HS,Ant,,,Other,2.4384,41
AM36,Ant,,,Other,0.9144,33.5
AM46,Ant,,,Other,1.2192,35.8
ANT01.26,Ant,,,Other,1.2192,35.8
ANT01.86,Ant,,,Other,1.8288,39.3
ANT02.46,Ant,,,Other,2.4384,42.1
ANT02.46UHPX,Ant,,,Other,2.4384,42.1
ANT0B3.06LHPX,Ant,,,Other,,43.5
ANT21.26,Ant,,,Other,1.2192,35.8
ANT21.86,Ant,,,Other,1.8288,39.3
ANT3A1.26,Ant,,,Other,1.2192,35.8
ANT3A1.86,Ant,,,Other,1.8288,39.3
ARCUHPMW64,Ant,,,Other,1.2192,
AU6D24HS,Ant,,,Other,2.4384,41.8
DA1059,Ant,,,Other,3.048,43.4
DA1059W,Ant,,,Other,3.048,43.4
DA1065,Ant,,,Other,3.048,44.1
DA10W57,Ant,,,Other,3.048,43.5
DA1259,Ant,,,Other,3.6576,45.1
DA1265,Ant,,,Other,3.6576,45.8
DA659,Ant,,,B1,1.8288,39
DA6W57,Ant,,,B1,1.8288,39
DA859,Ant,,,Other,2.4384,41.6
DA859W,Ant,,,Other,2.4384,41.6
DA865,Ant,,,Other,2.4384,42.3
DA8W57,Ant,,,Other,2.4384,41.5
DAX1059,Ant,,,Other,3.048,43.2
DAX1065,Ant,,,B1,3.048,43.9
DAX10W59,Ant,,,Other,3.048,43.5
DAX1259,Ant,,,Other,3.6576,44.8
DAX12W59,Ant,,,Other,3.6576,44.8
DAX859,Ant,,,Other,2.4384,41.3
DAX859W,Ant,,,Other,2.4384,41.3
DAX865,Ant,,,B1,2.4384,42.2
DAX8W59,Ant,,,Other,2.4384,41.3
DRFB659CSE,Ant,,,Other,1.8288,38.6
DRFB664BSE,Ant,,,Other,1.8288,40.1
HDH1065,Ant,,,B1,3.048,43.9
HDH865,Ant,,,B1,2.4384,42.4
HDV665,Ant,,,B1,1.8288,39.7
HDV865,Ant,,,B1,2.4384,42.4
HDX1059ALMAIN,Ant,,,Other,3.048,43.9
HDX1059AMAINLF,Ant,,,Other,3.048,43.2
HDX1059ARMAIN,Ant,,,Other,3.048,43.2
HDX1059MAINRF,Ant,,,Other,3.048,43.2
HDX1059RDIV,Ant,,,Other,3.048,43.9
HDX1059RFMAINRF,Ant,,,Other,3.048,43.2
HDX1259RFMAIN,Ant,,,Other,3.6576,45
HDX859,Ant,,,Other,2.4384,41.5
HP1059,Ant,,,Other,3.048,43.3
HP1059W,Ant,,,Other,3.048,43.3
HP10611,Ant,,,Other,3.048,45.8
HP1065,Ant,,,Other,3.048,43.9
HP1259,Ant,,,Other,3.6576,45
HP1259W,Ant,,,Other,3.6576,45
HP1265,Ant,,,Other,3.6576,45.6
HP1559,Ant,,,Other,4.572,46.4
HP36,Ant,,,Other,0.9144,33.3
HP36.4,Ant,,,Other,0.9144,33.4
HP45.9,Ant,,,Other,1.2192,35
HP459,Ant,,,Other,1.2192,35
HP46,Ant,,,Other,1.2192,36.5
HP46.4,Ant,,,Other,1.2192,35.9
HP464,Ant,,,Other,1.2192,35.9
HP465,Ant,,,Other,1.2192,36
HP65.9,Ant,,,Other,1.8288,39
HP657,Ant,,,Other,1.8288,38.5
HP659,Ant,,,Other,1.8288,39
HP659W,Ant,,,Other,1.8288,38.9
HP66,Ant,,,Other,1.8288,39.3
HP664,Ant,,,Other,1.8288,39.1
HP665,Ant,,,Other,1.8288,39.8
HP8186,Ant,,,Other,2.4384,30.7
HP857W,Ant,,,B1,2.4384,41.2
HP859,Ant,,,Other,2.4384,41.5
HP859W,Ant,,,Other,2.4384,41.5
HP8611,Ant,,,Other,2.4384,41.3
HP86511,Ant,,,Other,2.4384,42.3
HP865,Ant,,,Other,2.4384,42.3
HPD36,Ant,,,Other,0.9144,33.1
HPD459,Ant,,,Other,1.2192,35.7
HPD46,Ant,,,Other,1.2192,36.3
HPD464,Ant,,,Other,1.2192,35.7
HPD659,Ant,,,Other,1.8288,38.7
HPD66,Ant,,,Other,1.8288,39.1
HPD664,Ant,,,Other,1.8288,38.9
HPX1059,Ant,,,Other,3.048,43.1
HPX1065,Ant,,,Other,3.048,44
HPX10A59,Ant,,,Other,3.048,43.1
HPX1259,Ant,,,Other,3.6576,44.8
