regex,Ant Model
UCC *10W?[-. ?]*59[-/ a-zA-Z0-9()]*,UCC1059
UCC *10[xX][-. ?]*59DSE[-/ a-zA-Z0-9()]*,UCC10X59DSE
UCC *12W?[-. ?]*59A[-/ a-zA-Z0-9()]*,UCC1259A
UCC *6[-. ?]*59A[-/ a-zA-Z0-9()]*,UCC659A
UCC *6[xX][-. ?]*59A[-/ a-zA-Z0-9()]*,UCC6X59A
UCC *8[-. ?]*59A[-/ a-zA-Z0-9()]*,UCC859A
UCC *8[-. ?]*59B[-/ a-zA-Z0-9()]*,UCC859B
UCC *8[xX][-. ?]*59CSE[-/ a-zA-Z0-9()]*,UCC8X59CSE
UWB *10[-. ?]*5968[-/ a-zA-Z0-9()]*,UWB105968
UWB *6[-. ?]*5968SE[-/ a-zA-Z0-9()]*,UWB65968SE
UWB *6[-. ?]*5971SE[-/ a-zA-Z0-9()]*,UWB65971SE
UWB *8[-. ?]*5968[-/ a-zA-Z0-9()]*,UWB85968
UW *8[-. ?]*5968[-/ a-zA-Z0-9()]*,UWB85968
UWB *[-. ?]*5968[-/ a-zA-Z0-9()]*,UWB85968
UWB *8[-. ?]*5971A[-/ a-zA-Z0-9()]*,UWB85971A
DA *6[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,DA659
DA *6[-. ?]*65[-./ a-zA-Z0-9()]*,DA665
DA *6[-. ?]*W57[-./ a-vx-zA-VX-Z0-9()]*,DA6W57
DAX *10[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,DAX1065
DAX *6[-. ?]*65[-./ a-zA-Z0-9()]*,DAX665
DAX *8[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,DAX865
DD *6[-. ?]*64DSE[-./ a-zA-Z0-9()]*,DD664DSE
HDH *10[-. ?]*65[-./ a-zA-Z0-9()]*,HDH1065
HDH *6[-. ?]*65[-./ a-zA-Z0-9()]*,HDH665
HDH *8[-. ?]*65[-./ a-zA-Z0-9()]*,HDH865
HDV *6[-. ?]*65[-./ a-zA-Z0-9()]*,HDV665
