FSID,Region,Callsign,Path Number,Center Frequency (MHz),Bandwidth (MHz)
1,US,KAC57,1,6635,10
2,US,KAC57,2,6675,10
3,US,KAC75,1,6785,10
4,US,KAC75,2,6865,10
5,US,KAC75,3,6755,10
6,US,KAC75,4,6063.8,30
7,US,KAC75,4,6123.1,30
8,US,KAC75,5,5974.85,30
9,US,KAC75,5,6034.15,30
10,US,KAC75,6,6725,30
11,US,KAC75,6,6785,30
12,US,KAC88,1,6705,10
13,US,KAC88,2,6635,10
14,US,KAC88,3,6226.89,30
15,US,KAC88,3,6286.19,30
16,US,KAC88,4,6345.49,30
17,US,KAC88,4,6404.79,30
18,US,KAC93,1,6605,10
19,US,KAC93,2,6286.19,30
20,US,KAC93,4,6123.1,30
21,US,KAC93,5,6286.19,30
22,US,KAC93,5,6345.49,30
23,US,KAC93,6,5945.2,30
24,US,KAC93,6,6004.5,30
25,US,KAC94,1,6034.15,30
26,US,KAC94,2,6063.8,30
27,US,KAC94,3,6004.5,30
28,US,KAC94,3,6063.8,30
29,US,KAC94,4,6034.15,30
30,US,KAC94,4,6093.45,30
31,US,KAD98,1,6315.84,30
32,US,KAD98,2,6256.54,30
33,US,KAD98,3,6226.89,30
34,US,KAD98,3,6286.19,30
35,US,KAD98,4,6256.54,30
36,US,KAD98,4,6315.84,30
37,US,KAE31,3,6286.19,30
38,US,KAE31,4,6315.84,30
39,US,KAE32,3,6063.8,30
40,US,KAE32,4,6152.75,30
41,US,KAE34,3,6404.79,30
42,US,KAE34,4,6286.19,30
43,US,KAE36,3,6034.15,30
44,US,KAE36,4,6063.8,30
45,US,KAE60,1,6004.5,30
46,US,KAE60,2,5945.2,30
47,US,KAE60,3,6063.8,30
48,US,KAE60,3,6123.1,30
49,US,KAE60,4,5974.85,30
50,US,KAE60,4,6034.15,30
51,US,KAG91,2,6034.15,30
52,US,KAG96,1,6755,10
53,US,KAI25,1,6835,10
54,US,KAI25,2,6197.24,30
55,US,KAI25,3,6286.19,30
56,US,KAI25,4,6286.19,30
57,US,KAI25,4,6345.49,30
58,US,KAI25,5,6315.84,30
59,US,KAI25,5,6375.14,30
60,US,KAI64,4,6093.45,30
61,US,KAI64,6,6152.75,30
62,US,KAI65,1,6665,10
63,US,KAI65,2,6625,10
64,US,KAI65,3,6197.24,30
65,US,KAI65,4,6315.84,30
66,US,KAI65,5,6315.84,30
67,US,KAI65,5,6375.14,30
68,US,KAI65,6,6226.89,30
69,US,KAI65,6,6286.19,30
70,US,KAI65,7,6197.24,30
71,US,KAI65,7,6256.54,30
72,US,KAI65,8,6555,30
73,US,KAI65,8,6625,30
74,US,KAI99,1,6805,10
75,US,KAI99,2,6835,10
76,US,KAI99,3,6825,10
77,US,KAI99,4,5945.2,30
78,US,KAI99,4,6004.5,30
79,US,KAJ30,1,6315.84,30
80,US,KAJ30,2,6197.24,30
81,US,KAJ30,4,6197.24,30
82,US,KAJ30,4,6256.54,30
83,US,KAJ30,5,6315.84,30
84,US,KAJ30,5,6375.14,30
85,US,KAL27,1,6590.625,3.75
86,US,KAL27,2,6615.625,3.75
87,US,KAL30,1,6685,10
88,US,KAL30,2,6665,10
89,US,KAL31,1,6825,10
90,US,KAL31,2,6805,10
91,US,KAL31,3,6795,5
92,US,KAL31,4,6865.625,3.75
93,US,KAL32,1,6750.625,3.75
94,US,KAL32,2,6845,10
95,US,KAL32,3,6810.625,3.75
96,US,KAL32,4,6865,10
97,US,KAN25,1,5974.85,30
98,US,KAN25,1,6093.45,30
99,US,KAN25,1,6152.75,30
100,US,KAN25,2,6034.15,30
101,US,KAN25,2,6152.75,30
102,US,KAN25,4,6004.5,30
103,US,KAN25,5,6835,10
104,US,KAN32,4,6375.14,30
105,US,KAN32,5,6345.49,30
106,US,KAN32,5,6375.14,30
107,US,KAN32,5,6404.79,30
108,US,KAN32,6,6226.89,30
109,US,KAN63,2,6315.84,30
110,US,KAN64,2,6665,10
111,US,KAO69,1,6825,5
112,US,KAO69,2,6775,5
113,US,KAP30,4,6815,10
114,US,KAP30,6,6755,10
115,US,KAP30,7,6715,10
