ULS Mod,Bits/Symbol
0QPSK,2
0QPSKS,2
1024,10
1024 Q,10
1024 QA,10
1024QA,10
1024 QAM,10
1024QAM,10
1027QAM,10
104QAM,10
1128QAM,7
1248 QA,7
124QAM,10
1258 QA,7
126 QAM,7
127QAM,7
127 TCM,7
1280QAM,7
1285 QA,7
128,7
1289QAM,7
128AM,7
128Q,7
128 QA,7
128QA,7
128 QAM,7
128-QAM,7
128.QAM,7
128/QAM,7
128QAM,7
128 QM,7
128QM,7
128 QUA,7
128QUAM,7
128 TC,7
128TC,7
128 TCM,7
128-TCM,7
128.TCM,7
128/TCM,7
128TCM,7
128 TDM,7
129 QAM,7
138 TCM,7
138-TCM,7
156 QAM,8
156TCM,8
164 QAM,7
16 APSK,4
16APSK,4
16AQM,4
16 QAM,4
16-QAM,4
16/QAM,4
16QAM,4
16  QAM,4
16 QUAM,4
16QUAM,4
2024QAM,11
20484QA,11
2048 QA,11
2048QA,11
2048QAM,11
225 QPR,6
225QPR,6
225QPRD,6
225QPRS,6
24QPRS,5
253 QAM,8
253 TCM,8
2560QAM,8
256&64,8
256,8
256AM,8
256 AQM,8
256Q,8
256 QAA,8
256 QAM,8
256-QAM,8
256/QAM,8
256QAM,8
256 QAN,8
256 QM,8
256 TCM,8
256TCM,8
25 QPRS,5
25QPRS,5
260 QAM,8
265 QAM,8
265QAM,8
32,5
32 APSK,5
32APSK,5
32 QAM,5
32-QAM,5
32/QAM,5
32QAM,5
32QAM64,6
32 TCM,5
32-TCM,5
32/TCM,5
32TCM,5
32 TCMM,5
336QPRS,9
34 QAM,5
356 TCM,8
4096QA,12
4096QAM,12
490PRS,6
49GPRS,6
49QPR,6
49 QPRS,6
49QPRS,6
49 QRPS,6
49 QRS,6
4 QAM,2
4/QAM,2
4  QAM,2
4QAM,2
4QPSK,2
5126QAM,9
512,9
512Q,9
512 QAM,9
512/QAM,9
512QAM,9
512QM,9
513QAM,9
51QAM,9
62 QAM,6
63 QAM,6
640 QAM,6
64,6
64AM,6
64AM Q,6
64Q,6
64QAD,6
64 QAM,6
64-QAM,6
64.QAM,6
64/QAM,6
64QAM,6
64  QAM,6
64 QM,6
64 QQAM,6
64QQAM,6
64 QUAM,6
64QUAM,6
64STQAM,6
64 TCM,6
64TCM,6
65 QAM,6
8 PSK,3
8-PSK,3
8PSK,3
8 QAM,3
8QAM,3
8 VSB,3
9 QPRS,4
9QPRS,4
APSK/13,5
APSK/16,4
APSK/32,5
ASPK/32,5
PSK/8,3
PSK8,3
QA/128,7
QA/32,5
QAAM512,9
QAM/102,10
QAM1024,10
QAM 128,7
QAM/128,7
QAM128,7
QAM/129,7
QAM/152,9
QAM  16,4
QAM /16,4
QAM 16,4
QAM/16,4
QAM16,4
QAM2048,11
QAM 256,8
QAM/256,8
QAM256,8
QAM/258,8
QAM/28,7
QAM 32,5
QAM*32,5
QAM//32,5
QAM/32,5
QAM32,5
QAM4096,12
QAM 4,2
QAM/4,2
QAM4,2
QAM 512,9
QAM/512,9
QAM512,9
QAM/'6,4
QAM 64,6
QAM/ 64,6
QAM/64,6
QAM64,6
QAM 8,3
QAM/8,3
QAM8512,9
QAM,QAM
QAN/128,7
QAQM32,5
QPR-9,4
QPRS225,6
QPRS/25,5
QPRS-9,4
QPRS/9,4
QPSK 0,2
QPSK/0,2
QPSK,2
QPSSK/0,2
QSPK/0,2
QSPK,2
QUAM/64,6
TCM/126,7
TCM 128,7
TCM/128,7
TCM128,7
TCM 256,8
TCM/256,8
TCM 32,5
TCM-32,5
TCM/32,5
TCM32,5
TCM/64,6
TCM64,6
TMC/128,7
TSM/128,7
WAM/16,4
WAM/64,6
?4QAM,6
126QAM,7
0.001,7
161000,7
14029,5
182900,8
27M3D7W,7
28 QAM,7
30M0D7W,7
30M0D7W,6
30M0D7W,7
30M0D7W,10
4,2
43.3,2
512000,9
54QAM,6
56M0D7W,8
5M00D7W,7
64.2,8
64000,6
65,7
66.8,9
66.9,7
67.9,6
QAM/`6,4
QAM/204,11
QAM/409,12
QAM/PSK,10
QAM56,8
QM,6
0BPSK,1
1024AM,10
1024Q,10
1028QAM,10
1048QAM,10
116QAM,4
16AM,4
2048Q,11
210000,9
30M0G7W,2
32AM,5
4086QAM,12
4096Q,12
512AM,9
52QAM,9
64QM,6
68.2,7
8VSB,3
BPSK,1
DIG,7
DIG,6
PSK,3
QAAM/16,4
QAM1204,10
QAM//16,4
QAM62,6
QAN,3
QPRS,6
TMC,6
VSB/8,3
